,project,group,sample,group_idx,type
508,panlab,ALL-TLS_249,P4,4,P4
509,panlab,ALL-TLS_25,HE,0,HE
510,panlab,ALL-TLS_25,P1,1,P1
511,panlab,ALL-TLS_25,P2,2,P2
512,panlab,ALL-TLS_25,P3,3,P3
513,panlab,ALL-TLS_25,P4,4,P4
514,panlab,ALL-TLS_250,HE,0,HE
515,panlab,ALL-TLS_250,P1,1,P1
516,panlab,ALL-TLS_250,P2,2,P2
517,panlab,ALL-TLS_250,P3,3,P3
518,panlab,ALL-TLS_250,P4,4,P4
519,panlab,ALL-TLS_252,HE,0,HE
520,panlab,ALL-TLS_252,P1,1,P1
521,panlab,ALL-TLS_252,P2,2,P2
522,panlab,ALL-TLS_252,P3,3,P3
523,panlab,ALL-TLS_252,P4,4,P4
524,panlab,ALL-TLS_253,HE,0,HE
525,panlab,ALL-TLS_253,P1,1,P1
526,panlab,ALL-TLS_253,P2,2,P2
527,panlab,ALL-TLS_253,P3,3,P3
528,panlab,ALL-TLS_253,P4,4,P4
529,panlab,ALL-TLS_258,HE,0,HE
530,panlab,ALL-TLS_258,P1,1,P1
531,panlab,ALL-TLS_258,P2,2,P2
532,panlab,ALL-TLS_258,P3,3,P3
533,panlab,ALL-TLS_258,P4,4,P4
534,panlab,ALL-TLS_259,HE,0,HE
535,panlab,ALL-TLS_259,P1,1,P1
536,panlab,ALL-TLS_259,P2,2,P2
537,panlab,ALL-TLS_259,P3,3,P3
538,panlab,ALL-TLS_259,P4,4,P4
539,panlab,ALL-TLS_26,HE,0,HE
540,panlab,ALL-TLS_26,P1,1,P1
541,panlab,ALL-TLS_26,P2,2,P2
542,panlab,ALL-TLS_26,P3,3,P3
543,panlab,ALL-TLS_260,HE,0,HE
544,panlab,ALL-TLS_260,P1,1,P1
545,panlab,ALL-TLS_260,P2,2,P2
546,panlab,ALL-TLS_260,P3,3,P3
547,panlab,ALL-TLS_260,P4,4,P4
548,panlab,ALL-TLS_262,HE,0,HE
549,panlab,ALL-TLS_262,P1,1,P1
550,panlab,ALL-TLS_262,P2,2,P2
551,panlab,ALL-TLS_262,P3,3,P3
552,panlab,ALL-TLS_262,P4,4,P4
553,panlab,ALL-TLS_263-缺P1,HE,0,HE
554,panlab,ALL-TLS_263-缺P1,P1,1,P1
555,panlab,ALL-TLS_263-缺P1,P2,2,P2
556,panlab,ALL-TLS_263-缺P1,P3,3,P3
557,panlab,ALL-TLS_263-缺P1,P4,4,P4
558,panlab,ALL-TLS_264,HE,0,HE
559,panlab,ALL-TLS_264,P1,1,P1
560,panlab,ALL-TLS_264,P2,2,P2
561,panlab,ALL-TLS_264,P3,3,P3
562,panlab,ALL-TLS_264,P4,4,P4
563,panlab,ALL-TLS_265,HE,0,HE
564,panlab,ALL-TLS_265,P1,1,P1
565,panlab,ALL-TLS_265,P2,2,P2
566,panlab,ALL-TLS_265,P3,3,P3
567,panlab,ALL-TLS_265,P4,4,P4
568,panlab,ALL-TLS_267,P1,0,P1
569,panlab,ALL-TLS_267,P2,1,P2
570,panlab,ALL-TLS_267,P3,2,P3
571,panlab,ALL-TLS_267,P4,3,P4
572,panlab,ALL-TLS_268,HE,0,HE
